vendor_id,vendor_name_ar,cr_number,vat_number,city,contact_person_ar,contact_email,contact_phone,iban,status,last_updated
V00001,شركة مساهمة الهاجري للترجمة والتعريب,7106192298,365039629890503,سكاكا,هبة الخالدي,jasem.alotaibi@vendor5.sa.example,+966561518134,SA7257599326188766608302,نشط,2024-09-28
V00002,مؤسسة الحربي للبنية التحتية,5855551136,383379156212763,أبها,الجوهرة السديري,walid.alhazmi@vendor29.sa.example,+966530742926,SA8302432117704139204616,نشط,2025-01-11
V00003,مصنع الهاجري للطباعة والنشر,4031334621,389688409961493,مكة المكرمة,رؤيا الجهني,mona.albalawi@vendor26.sa.example,+966576788935,SA1140606412425738012922,نشط,2024-08-28
V00004,مجموعة الزبيدي للإعلام والتواصل,3206271033,381279705026623,حائل,مها العمري,najla.althbiti@vendor27.sa.example,,SA4995768055241211099886,نشط,2024-09-25
V00005,مركز البقمي للأمن السيبراني,6006621850,393310369842753,جازان,لؤي الدوسري,abdulwahhab.alasiri@vendor16.sa.example,+966549078627,SA8252870589410114666222,نشط,2025-09-24
V00006,مصنع الخالدي للإعلام والتواصل,5855627766,317872139425923,أبها,سارة الغامدي,safaa.alasiri@vendor21.sa.example,+966532447292,SA4312710542226185692424,نشط,2024-08-16
V00007,مؤسسة القحطاني للأعمال العقارية,7106383395,335060518452883,سكاكا,مياء الرويلي,yomna.alswat@vendor1.sa.example,+966552961859,SA6498093386181369035870,نشط,2025-01-24
V00008,مؤسسة الحازمي للتعليم والتدريب,5854696759,302919585952363,خميس مشيط,شهد البلوي,alanoud.alsaaidi@vendor5.sa.example,+966573711535,SA2278232667976284484962,نشط,2025-02-24
V00009,مؤسسة السديري للمستشفيات,1010428203,312907215933613,الرياض,مياء الثبيتي,sultan.alghamdi@vendor1.sa.example,+966577704635,SA8074523365192606855672,نشط,2025-08-05
V00010,مجموعة القرني للبنية التحتية,5855247213,379080071380443,أبها,رند السهلي,mona.alaufi@vendor12.sa.example,+966549399775,SA2825712435571561267224,نشط,2024-10-06
V00011,مجموعة الحازمي للأعمال العقارية,4030267508,318080611892353,جدة,عادل التميمي,mayaa.alomari@vendor16.sa.example,+966586659542,SA6436451839684135612159,نشط,2025-05-27
V00012,مصنع العتيبي للمقاولات,1010961238,376173471525383,الرياض,حنان المرواني,lama.alhumaidi@vendor20.sa.example,+966583471945,SA1698753453371797119819,نشط,2024-12-07
V00013,مجموعة العامري للخدمات المالية,3406238405,316565869957943,بريدة,مساعد القرشي,salman.alsubaie@vendor18.sa.example,+966526409205,SA9716147439208295697689,نشط,2025-10-03
V00014,شركة مساهمة الغامدي للمقاولات,3406480899,378316141297033,بريدة,لمى الأسمري,sara.alshamri@vendor6.sa.example,+966503719477,SA77878337238129111889,نشط,2026-06-10
V00015,مصنع الزبيدي للإعلام والتواصل,1010096453,364497620399683,الرياض,خالد الشهراني,mishal.alghamdi@vendor6.sa.example,+966514174826,SA6039915675945986996949,نشط,2026-05-29
V00016,مركز اليامي للترجمة والتعريب,2051603926,308381783351163,الجبيل,نورة المسعود,ghanem.alasiri@vendor15.sa.example,+966593739115,SA9524452696916272702471,نشط,2025-06-23
V00017,مكتب المرواني للأمن السيبراني,5606740797,318279195631453,تبوك,أحمد المرواني,saqr.alanazi@vendor7.sa.example,+966576238642,SA5114650516402347641318,نشط,2025-06-13
V00018,مؤسسة المطيري للمقاولات,2050851637,318743949832863,الدمام,جاسم الفيفي,mona.alomari@vendor30.sa.example,+966577402067,SA1572927395258715401085,نشط,2024-09-06
V00019,مختبرات البقمي للمقاولات,4650465831,337261880215173,المدينة المنورة,لطيفة الشمري,haifa.alshahrani@vendor9.sa.example,+966556011495,SA4934144483964818484923,نشط,2025-04-14
V00020,مكتب المطيري للتجهيزات الطبية,6906627106,364413061168573,عرعر,سلطان القحطاني,bashayir.alanazi@vendor20.sa.example,+966501413278,SA4687218716649739903565,نشط,2026-01-18
V00021,مختبرات الرويلي للاتصالات,5855882067,364513200444013,أبها,معاذ البقمي,noura.alsharif@vendor14.sa.example,+966516193110,SA1214417159817708617592,نشط,2024-05-03
V00022,مختبرات الرويلي للأمن السيبراني,3206844943,378877663934823,حائل,مروة الرويلي,abdulrahman.alsaaidi@vendor5.sa.example,+966548966947,SA5142326316454748037674,نشط,2025-11-06
V00023,مركز الرويلي للخدمات البيئية,4030762833,363498741005003,جدة,طلال الشمري,areej.alrubaie@vendor11.sa.example,+966515281783,SA6050089676089835727935,نشط,2022-05-30
V00024,مركز الحازمي للطباعة والنشر,3206685481,390657187724093,حائل,نادية الشمري,basel.aldosari@vendor30.sa.example,+966520559698,SA2496676826620519443887,نشط,2025-04-30
V00025,مختبرات العسيري للخدمات المالية,4030305695,394097987343733,جدة,أيمن الجهني,hamad.alghamdi@vendor3.sa.example,+966591095933,SA7177584191380981683985,نشط,2025-02-22
V00026,مختبرات الزبيدي للخدمات اللوجستية,4030751115,322136637764393,جدة,تالا الربيعي,ahmed.alsudairi@vendor27.sa.example,+966566756669,SA57194363883218194940,نشط,2026-06-02
V00027,مصنع اليامي للمستشفيات,3406771873,366261636041683,بريدة,ماجد المرواني,abdulkarim.alfaifi@vendor6.sa.example,+966568120280,SA5768780306060428860888,نشط,2025-09-03
V00028,شركة الدوسري للترجمة والتعريب,4650230531,350098625012373,المدينة المنورة,ديمة الرشيدي,najla.althbiti@vendor15.sa.example,+966573746646,SA4932162948183150314250,نشط,2024-11-29
V00029,مصنع الحربي للتطوير البرمجي,7106216352,340308725732373,سكاكا,صفاء العامري,ibtisam.alrubaie@vendor18.sa.example,+966599880372,SA0269030353146951074439,نشط,2025-09-28
V00030,مؤسسة الحربي للأعمال العقارية,1010327899,318870554396873,الرياض,سارة العامري,abdulwahhab.alghamdi@vendor8.sa.example,+966588890413,SA0984038159023042210468,نشط,2025-10-08
V00031,مؤسسة الفيفي للإعلام والتواصل,5606082676,342357477573263,تبوك,إيمان المرواني,hussein.almalki@vendor5.sa.example,+966532862685,SA3368080155206656459055,نشط,2025-05-20
V00032,شركة مساهمة المسعود للتعليم والتدريب,6006132508,369765815475933,جازان,عبدالرحمن الحربي,bashayir.alhajri@vendor18.sa.example,+966580732353,SA1471663426767714766820,نشط,2024-08-18
V00033,مختبرات التميمي للصناعات الغذائية,3406889086,307725417189993,بريدة,هاني الفيفي,kholoud.alharbi@vendor16.sa.example,+966572137358,SA9227501489037144649752,نشط,2026-05-17
V00034,مؤسسة الحازمي للتجهيزات الطبية,4031253199,339700686288783,مكة المكرمة,غانم العمري,sahar.albqami@vendor22.sa.example,+966514898299,SA8570683031795632475052,نشط,2025-09-29
V00035,شركة التميمي لإدارة المشاريع,5854828729,379423995694923,خميس مشيط,وليد الزهراني,adel.alharbi@vendor18.sa.example,+966564860903,SA1987912128162748609397,نشط,2025-04-26
