invoice_no,vendor_id,issue_date,currency,subtotal,vat_amount,total_amount,cost_center,approved_by_id,payment_iban
INV-2026-000001,V00868,2025-08-12,SAR,94241.34,14136.2,108377.54,تقنية المعلومات,1041741099,SA9159633362554118825523
INV-2026-000002,V00423,2025-08-14,SAR,234133.56,35120.03,269253.59,ضبط الجودة,1419861040,SA9255396615627954965565
INV-2026-000003,V00919,2025-03-11,SAR,288438.56,43265.78,331704.34,التخطيط والتطوير,1699206049,SA8544181269071592948021
INV-2026-000004,V00149,2026-03-27,SAR,271639.98,40746.0,312385.98,المشتريات,1315435964,SA6140296459538963140290
INV-2026-000005,V01080,2025-09-21,SAR,559849.02,83977.35,643826.37,الشؤون القانونية,1336369945,SA3790051277496455482911
INV-2026-000006,V00991,2025-06-29,SAR,891413.34,133712.0,1025125.34,المشتريات,1321518969,SA4134398050324210632500
INV-2026-000007,V00812,2025-04-08,SAR,878208.42,131731.26,1009939.68,تقنية المعلومات,1090534585,SA6930840564017291624695
INV-2026-000008,V01082,2025-08-08,SAR,659846.02,98976.9,758822.92,التشغيل,1858428202,SA9150314781073123997938
INV-2026-000009,V01173,2025-03-14,SAR,376488.93,56473.34,432962.27,التخطيط والتطوير,1663596789,SA2509431153696980691649
INV-2026-000010,V01161,2026-03-09,SAR,43956.09,6593.41,50549.5,التخطيط والتطوير,1117587129,SA2912166378123042397196
INV-2026-000011,V00546,2025-10-07,SAR,666335.4,99950.31,766285.71,التخطيط والتطوير,1965787748,SA7425571306470177141479
INV-2026-000012,V00217,2026-01-25,SAR,768660.36,115299.05,883959.41,الاتصال المؤسسي,1535737306,SA3773157708061192923479
INV-2026-000013,V00180,2026-04-29,SAR,242077.49,36311.62,278389.11,التشغيل,1069779682,SA1121810975122934397841
INV-2026-000014,V00273,2025-04-29,SAR,227101.05,34065.16,261166.21,الخدمات المساندة,1369257694,SA2159574381332248446660
INV-2026-000015,V00256,2025-04-03,SAR,365300.01,54795.0,420095.01,الشؤون القانونية,1000592517,SA6616842337179192751402
INV-2026-000016,V00845,2026-02-04,SAR,495642.26,74346.34,569988.6,الاتصال المؤسسي,1675156754,SA4696539940128103514984
INV-2026-000017,V01065,2025-02-24,SAR,433377.49,65006.62,498384.11,تقنية المعلومات,1892518851,SA2072752177578631560732
INV-2026-000018,V00737,2025-05-30,SAR,723916.67,108587.5,832504.17,التخطيط والتطوير,1859690446,SA3655833385199871801668
INV-2026-000019,V00975,2025-05-12,SAR,578689.16,86803.37,665492.53,الموارد البشرية,1784691006,SA8173375509420786064554
INV-2026-000020,V00960,2025-10-26,SAR,385280.09,57792.01,443072.1,الخدمات المساندة,1790674814,SA4680233286613440387036
INV-2026-000021,V01124,2026-02-04,SAR,431532.75,64729.91,496262.66,الشؤون القانونية,1675923245,SA8649751019022967202911
INV-2026-000022,V00541,2025-10-30,SAR,479341.79,71901.27,551243.06,ضبط الجودة,1741839342,SA7199204976315424084650
INV-2026-000023,V01040,2026-02-19,SAR,286542.95,42981.44,329524.39,التشغيل,1704468907,SA3862386120236766205451
INV-2026-000024,V01085,2025-12-24,SAR,303049.47,45457.42,348506.89,الاتصال المؤسسي,1530650504,SA8402677981823870241535
INV-2026-000025,V00243,2025-06-02,SAR,766174.36,114926.15,881100.51,الخدمات المساندة,1548329505,SA0972821360160121183710
INV-2026-000026,V00796,2025-04-19,SAR,650063.2,97509.48,747572.68,إدارة المعرفة,1085105649,SA0597330386150439262103
INV-2026-000027,V00290,2026-01-08,SAR,435039.32,65255.9,500295.22,الاتصال المؤسسي,1888095740,SA0425642531792375291935
INV-2026-000028,V00641,2025-06-17,SAR,337674.94,50651.24,388326.18,ضبط الجودة,1639999760,SA1307099396866034197003
INV-2026-000029,V00602,2025-10-09,SAR,567533.19,85129.98,652663.17,تقنية المعلومات,1865718652,SA6673398273809279223395
INV-2026-000030,V01329,2026-04-14,SAR,179687.8,26953.17,206640.97,التخطيط والتطوير,1715815757,SA2056682773986288947898
INV-2026-000031,V01357,2025-02-16,SAR,359545.96,53931.89,413477.85,المالية,1346233859,SA4178369876704452282791
INV-2026-000032,V01469,2025-07-18,SAR,704305.68,105645.85,809951.53,الخدمات المساندة,1959220631,SA7858426267378330988775
INV-2026-000033,V01192,2025-04-20,SAR,154550.41,23182.56,177732.97,تقنية المعلومات,1080600511,SA5770658587902934448147
INV-2026-000034,V00054,2025-12-29,SAR,65194.86,9779.23,74974.09,المالية,1393923741,SA2237672141153434099421
INV-2026-000035,V01378,2026-04-08,SAR,337371.3,50605.69,387976.99,إدارة المخاطر,1065274647,SA5675278200939282022306
INV-2026-000036,V01442,2025-08-06,SAR,19838.18,2975.73,22813.91,تقنية المعلومات,1478748872,SA9719696983037995181672
INV-2026-000037,V00418,2025-08-17,SAR,479084.53,71862.68,550947.21,المشتريات,1748945662,SA4599195168529732026717
INV-2026-000038,V00282,2025-05-15,SAR,197064.97,29559.75,226624.72,المشتريات,1127256152,SA9413182217796224271487
INV-2026-000039,V00801,2026-04-02,SAR,317060.99,47559.15,364620.14,,1496081876,SA5101809419815455546388
INV-2026-000040,V01119,2026-05-04,SAR,936927.71,140539.16,1077466.87,تقنية المعلومات,1545376657,SA0386406636994595056859
INV-2026-000041,V00076,2026-01-11,SAR,480411.7,72061.76,552473.46,الاتصال المؤسسي,1106700352,SA1094381971124142156024
INV-2026-000042,V01407,2025-11-13,SAR,360358.38,54053.76,414412.14,الشؤون القانونية,1958683789,SA7907841850374822591562
INV-2026-000043,V00327,2026-05-16,SAR,589530.91,88429.64,677960.55,الشؤون القانونية,1445161704,SA9116941424733625557196
INV-2026-000044,V00003,2025-07-06,SAR,572558.07,85883.71,658441.78,إدارة المخاطر,1977167152,SA4184129276793151407116
INV-2026-000045,V00149,2025-10-04,SAR,839692.38,125953.86,965646.24,الشؤون القانونية,1728112135,SA9339611340362867419417
INV-2026-000046,V00927,2025-08-09,SAR,656414.4,98462.16,754876.56,إدارة المخاطر,1169210273,SA1228230273994773251030
INV-2026-000047,V00877,2026-03-16,SAR,232960.94,34944.14,267905.08,إدارة المخاطر,1893622033,SA8753999618940952102393
INV-2026-000048,V00311,2026-04-16,SAR,899091.25,134863.69,1033954.94,التدقيق الداخلي,1726350059,SA9217323717757269072899
INV-2026-000049,V00041,2025-09-10,SAR,106311.36,15946.7,122258.06,التخطيط والتطوير,1359309240,SA3739177766133468162219
INV-2026-000050,V01009,2025-09-21,SAR,150449.85,22567.48,173017.33,تقنية المعلومات,1205556382,SA2090816463694578938592
INV-2026-000051,V01142,2026-05-11,SAR,649363.66,97404.55,746768.21,الشؤون القانونية,1962871719,SA5283695061660083714574
INV-2026-000052,V00786,2026-05-11,SAR,947839.69,142175.95,1090015.64,الاتصال المؤسسي,1768497404,SA9528477620071533211403
INV-2026-000053,V00283,2025-04-12,SAR,55653.77,8348.07,64001.84,الاتصال المؤسسي,1450997612,SA2903166892653058533101
INV-2026-000054,V00425,2025-04-25,SAR,195457.68,29318.65,224776.33,التشغيل,1049427394,SA0609766104601879290727
INV-2026-000055,V00678,2025-05-14,SAR,893854.48,134078.17,1027932.65,الخدمات المساندة,1505581817,SA5909909280644895254020
INV-2026-000056,V00021,2025-09-15,SAR,372817.81,55922.67,428740.48,ضبط الجودة,1029511787,SA5574024080717384272684
INV-2026-000057,V00014,2025-12-13,SAR,657144.95,98571.74,755716.69,المشتريات,1663986220,SA3989256028166512976311
INV-2026-000058,V00409,2026-02-14,SAR,332343.16,49851.47,382194.63,الموارد البشرية,1131288928,SA8498131057335579756659
INV-2026-000059,V00309,2026-03-21,SAR,330647.47,49597.12,380244.59,التدقيق الداخلي,1001628062,SA9461613755513099623663
INV-2026-000060,V01457,2026-04-11,SAR,139740.13,20961.02,160701.15,إدارة المخاطر,1781801418,SA5637679004465511538081
INV-2026-000061,V01087,2025-03-11,SAR,373371.31,56005.7,429377.01,التدقيق الداخلي,1159537511,SA8909760527880876548299
INV-2026-000062,V00065,2025-09-10,SAR,656274.16,98441.12,754715.28,المشتريات,1024372672,SA5287367619454299498841
INV-2026-000063,V00291,2026-03-06,SAR,581216.94,87182.54,668399.48,تقنية المعلومات,1258203817,SA9240608088437570650756
INV-2026-000064,V00169,2025-07-19,SAR,852487.17,127873.08,980360.25,التخطيط والتطوير,1601089988,SA7394910501649680984248
INV-2026-000065,V00177,2025-05-10,SAR,252568.97,37885.35,290454.32,تقنية المعلومات,1349723872,SA5138112234000626655206
INV-2026-000066,V00584,2026-04-25,SAR,340236.99,51035.55,391272.54,الشؤون القانونية,1749297691,SA0474437908550161342880
INV-2026-000067,V01089,2025-03-09,SAR,509571.76,76435.76,586007.52,تقنية المعلومات,1291498614,SA1535775160334587875181
INV-2026-000068,V00103,2025-09-17,SAR,545451.58,81817.74,627269.32,تقنية المعلومات,1372156545,SA7505570699337824712380
INV-2026-000069,V01141,2025-01-16,SAR,641314.97,96197.25,737512.22,الاتصال المؤسسي,1233736626,SA9379885363375942960667
INV-2026-000070,V00283,2026-01-04,SAR,241263.19,36189.48,277452.67,الموارد البشرية,1590225791,SA0364283483390243548436
INV-2026-000071,V01289,2025-06-23,SAR,146975.04,22046.26,169021.3,التشغيل,1931907453,SA6364960989977983185776
INV-2026-000072,V00815,2025-11-30,SAR,569573.85,85436.08,655009.93,إدارة المعرفة,1028661955,SA0895352092357108099259
INV-2026-000073,V01378,2025-11-23,SAR,666352.36,99952.85,766305.21,الاتصال المؤسسي,1943589976,SA1084723187469746859719
INV-2026-000074,V01053,2026-03-21,SAR,236153.03,35422.95,271575.98,إدارة المخاطر,1670845161,SA6486372044312605356577
INV-2026-000075,V00220,2025-02-03,SAR,61490.59,9223.59,70714.18,الاتصال المؤسسي,1118055324,SA5637758946155009918629
INV-2026-000076,V01112,2025-10-27,SAR,500117.71,75017.66,575135.37,المالية,1593258716,SA5284830384729587752742
INV-2026-000077,V00225,2026-06-18,SAR,832369.33,124855.4,957224.73,التخطيط والتطوير,1449773819,SA4353440706207793613226
INV-2026-000078,V01232,2025-02-22,SAR,18890.03,2833.5,21723.53,المشتريات,1187607849,SA7605613124809613850561
INV-2026-000079,V01140,2026-01-08,SAR,237039.7,35555.96,272595.66,التخطيط والتطوير,1710327733,SA5668367952538490669215
INV-2026-000080,V00144,2025-04-22,SAR,87092.2,13063.83,100156.03,التشغيل,1403151044,SA7554011369480962782699
INV-2026-000081,V00068,2025-12-11,SAR,535505.37,80325.81,615831.18,التدقيق الداخلي,1404741975,SA5513284209088909990309
INV-2026-000082,V00631,2025-09-16,SAR,363774.13,54566.12,418340.25,المشتريات,1544658519,SA1188328423011903948336
INV-2026-000083,V01104,2025-10-14,SAR,439156.14,65873.42,505029.56,الشؤون القانونية,1921967806,SA7976702617000450884494
INV-2026-000084,V00569,2026-04-04,SAR,722839.31,108425.9,831265.21,المشتريات,1494579004,SA1256870479819264609565
INV-2026-000085,V00660,2026-02-22,SAR,370435.44,55565.32,426000.76,التخطيط والتطوير,1500374911,SA8490357545876145273902
INV-2026-000086,V01100,2026-02-19,SAR,703638.55,105545.78,809184.33,الموارد البشرية,1064120841,SA7016312631545805282957
INV-2026-000087,V00658,2026-05-08,SAR,3080.99,462.15,3543.14,إدارة المعرفة,1393650864,SA3161372053029906242489
INV-2026-000088,V00120,2026-04-24,SAR,56209.73,8431.46,64641.19,التخطيط والتطوير,1323330900,SA5665515551934481340142
INV-2026-000089,V01444,2026-02-16,SAR,680095.95,102014.39,782110.34,الشؤون القانونية,1564943825,SA6465508554594781037685
INV-2026-000090,V00471,2026-06-14,SAR,779566.13,116934.92,896501.05,التدقيق الداخلي,1313931071,SA1146286147156527669473
INV-2026-000091,V00778,2025-05-17,SAR,72391.87,10858.78,83250.65,الموارد البشرية,1447325034,SA5705389665589765515657
INV-2026-000092,V00180,2025-07-22,SAR,36612.38,5491.86,42104.24,إدارة المعرفة,1748291794,SA4245583444222219405428
INV-2026-000093,V00786,2026-01-12,SAR,71815.34,10772.3,82587.64,التشغيل,1622061917,SA8081777724521773725875
INV-2026-000094,V00874,2025-08-31,SAR,402187.37,60328.11,462515.48,ضبط الجودة,1065577619,SA6172725199936735969019
INV-2026-000095,V01114,2025-11-16,SAR,773423.08,116013.46,889436.54,التخطيط والتطوير,1304815275,SA1782169640360629507494
INV-2026-000096,V00791,2025-08-08,SAR,453425.15,68013.77,521438.92,التخطيط والتطوير,1457104758,SA2478578338621733598079
INV-2026-000097,V00114,2026-03-20,SAR,562592.72,84388.91,646981.63,إدارة المخاطر,1568247975,SA2028052117389949457211
INV-2026-000098,V00032,2027-02-23,SAR,587378.76,88106.81,675485.57,التدقيق الداخلي,1054975758,SA3869307986927012805930
INV-2026-000099,V00310,2025-11-05,SAR,658703.3,98805.5,757508.8,إدارة المخاطر,1469807364,SA2396610075712606881983
INV-2026-000100,V00849,2025-06-13,SAR,781032.68,117154.9,898187.58,المالية,1521786093,SA9001361564527469125884
INV-2026-000101,V01074,2026-05-11,SAR,29082.84,4362.43,33445.27,ضبط الجودة,1737052603,SA8134765678697433726473
INV-2026-000102,V00451,2025-11-23,SAR,584726.36,87708.95,672435.31,المشتريات,1928023017,SA7426356653196305843601
INV-2026-000103,V00156,2025-03-22,SAR,848849.25,127327.39,976176.64,الخدمات المساندة,1150109484,SA1495259534455300240045
INV-2026-000104,V00641,2026-05-16,SAR,754633.77,113195.07,867828.84,الخدمات المساندة,1585708389,SA8182912094568686830417
INV-2026-000105,V01366,2026-01-06,SAR,496932.92,74539.94,571472.86,إدارة المعرفة,1871004691,SA2186233533648189492709
INV-2026-000106,V01410,2025-06-06,SAR,420847.89,63127.18,483975.07,التخطيط والتطوير,1645024629,SA3147124962294457389874
INV-2026-000107,V01129,2025-01-11,SAR,245709.06,36856.36,282565.42,المشتريات,1268078688,SA1951356060925138089028
INV-2026-000108,V00461,2025-05-31,SAR,438956.95,65843.54,504800.49,التشغيل,1436405920,SA7359547086187068312981
INV-2026-000109,V00677,2025-03-24,SAR,198133.33,29720.0,227853.33,الاتصال المؤسسي,1099574186,SA4572126098981728330089
INV-2026-000110,V01004,2026-01-04,SAR,546574.73,81986.21,628560.94,المشتريات,1103237820,SA1728466801047427088911
INV-2026-000111,V00350,2025-02-05,SAR,25441.83,3816.27,29258.1,التدقيق الداخلي,1566765218,SA9383560901145842223102
INV-2026-000112,V00109,2026-02-12,SAR,763836.19,114575.43,878411.62,إدارة المخاطر,1256740919,SA4066389400420686569881
INV-2026-000113,V01265,2025-11-03,SAR,391600.64,58740.1,450340.74,إدارة المعرفة,1057437665,SA9870914107820233007274
INV-2026-000114,V01017,2025-01-12,SAR,172578.01,25886.7,198464.71,المشتريات,1571289238,SA8008856346535535581783
INV-2026-000115,V00511,2026-01-31,SAR,757302.3,113595.35,870897.65,الموارد البشرية,1441472105,SA4174399860380473708788
INV-2026-000116,V00692,2025-06-21,SAR,412260.2,61839.03,474099.23,المالية,1793404367,SA4329130964770925873842
INV-2026-000117,V01367,2026-01-09,SAR,214199.1,32129.86,246328.96,المالية,1603617216,SA4267733209492969016745
INV-2026-000118,V01340,2025-01-05,SAR,126174.09,18926.11,145100.2,الموارد البشرية,1089953341,SA7144723885287151677553
INV-2026-000119,V00345,2026-01-11,SAR,128187.67,19228.15,147415.82,المالية,1956601569,SA8804705675660179686827
INV-2026-000120,V01198,2025-02-27,SAR,35448.19,5317.23,40765.42,الشؤون القانونية,1074625185,SA7920985123200584649495
INV-2026-000121,V00943,2026-03-11,SAR,242667.08,36400.06,279067.14,التشغيل,1515076741,SA5894189829294125719158
INV-2026-000122,V01434,2025-05-10,SAR,255509.21,38326.38,293835.59,المالية,1388968669,SA2118265585341365173614
INV-2026-000123,V00974,2025-04-07,SAR,376411.12,56461.67,432872.79,تقنية المعلومات,1178823561,SA8951727888605964286068
INV-2026-000124,V01024,2025-11-15,SAR,585855.99,87878.4,673734.39,الشؤون القانونية,1643243981,SA4703086471718809149850
INV-2026-000125,V00245,2026-02-22,SAR,550124.05,82518.61,632642.66,التشغيل,1375753835,SA5610903151525634247548
INV-2026-000126,V01125,2026-01-05,SAR,456669.25,68500.39,525169.64,الخدمات المساندة,1793258607,SA3836452545983589045944
INV-2026-000127,V00206,2025-11-30,SAR,446748.07,67012.21,513760.28,الاتصال المؤسسي,1226384624,SA0973167210076781968007
INV-2026-000128,V00383,2025-02-13,SAR,384181.36,57627.2,441808.56,المالية,1513993061,SA4753067070640975340724
INV-2026-000129,V01030,2025-05-31,SAR,10895.75,1634.36,12530.11,تقنية المعلومات,1927938173,SA2378729987028955956461
INV-2026-000130,V00926,2025-02-23,SAR,447235.32,67085.3,514320.62,المالية,1282288602,SA9010251324456719491262
INV-2026-000131,V00464,2026-04-20,SAR,775964.11,116394.62,892358.73,الشؤون القانونية,1174594778,SA8335526898369742971897
INV-2026-000132,V00530,2025-12-15,SAR,127236.41,19085.46,146321.87,التشغيل,1440052478,SA9783160422865645507040
INV-2026-000133,V00597,2025-05-22,SAR,624317.15,93647.57,717964.72,إدارة المخاطر,1719600247,SA8266763420211475352347
INV-2026-000134,V00726,2026-06-19,SAR,123260.39,18489.06,141749.45,التخطيط والتطوير,1597059037,SA0227110406808461037526
INV-2026-000135,V01022,2026-06-05,SAR,161283.04,8064.15,185475.5,إدارة المعرفة,1373666740,SA7242577568647580266485
INV-2026-000136,V00442,2025-02-09,SAR,836405.32,125460.8,961866.12,التدقيق الداخلي,1213779612,SA2224998002901375491939
INV-2026-000137,V01196,2025-12-09,SAR,713810.05,107071.51,820881.56,التشغيل,1371642289,SA4762250115978191610617
INV-2026-000138,V00441,2025-08-11,SAR,797816.48,119672.47,917488.95,ضبط الجودة,1493086456,SA0329815156382468991730
INV-2026-000139,V00970,2025-06-19,SAR,603024.9,90453.74,693478.64,الخدمات المساندة,1753167400,SA4638525950913252383930
INV-2026-000140,V00686,2026-04-01,SAR,152321.06,22848.16,175169.22,الخدمات المساندة,1083843563,SA5542938668568062890875
INV-2026-000141,V00038,2025-11-27,SAR,123174.6,18476.19,141650.79,إدارة المخاطر,1920973904,SA8977092968276053820770
INV-2026-000142,V00565,2026-06-02,SAR,275707.4,41356.11,317063.51,التدقيق الداخلي,1653657492,SA9750829809735901968347
INV-2026-000143,V00724,2025-10-21,SAR,232147.85,34822.18,266970.03,المالية,1882630633,SA9255118384573283202635
INV-2026-000144,V00368,2025-02-19,SAR,832976.36,124946.45,957922.81,التخطيط والتطوير,1687081826,SA8965087693631514905483
INV-2026-000145,V01279,2025-06-19,SAR,753455.39,113018.31,866473.7,المالية,1201894696,SA5577636862811041123572
INV-2026-000146,V00559,2025-11-07,SAR,429311.61,64396.74,493708.35,التشغيل,1209758646,SA3748516459217070722109
