employee_id,full_name_ar,national_id,department,job_title,monthly_salary_sar,bank_iban,mobile,biometric_on_file,hire_date
E00001,مشعل الربيعي,1751534981,الموارد البشرية,محلل,22000,SA8933674829481995265344,+966553566301,لا,2016-07-06
E00002,رند العسيري,1081062968,تقنية المعلومات,مسؤول مشتريات,8500,SA4327959171451282436256,+966573670833,نعم,2022-01-13
E00003,سامي الحوساوي,1952566535,ضبط الجودة,باحث,18000,SA9209512937639794377332,+966522382521,نعم,2013-02-09
E00004,باسل المطيري,1599437421,الموارد البشرية,كبير محللين,6500,SA0254080424710535827845,+966585668305,نعم,2022-02-20
E00005,هاني الجهني,1657193957,الشؤون القانونية,رئيس قسم,14500,SA3088077727665123809926,+966555020561,نعم,2011-12-23
E00006,حنان الأسمري,1139785362,الخدمات المساندة,مطور برمجيات,6500,SA1451878472659344063448,+966535489233,لا,2025-07-07
E00007,لمى الحربي,1666403116,الشؤون القانونية,مهندس,55000,SA6303947425215297802673,+966535484066,لا,2017-08-28
E00008,ميساء المسعود,1065890780,الموارد البشرية,منسق,18000,SA4276296731478102320514,,لا,2011-09-14
E00009,هند التميمي,1667152969,التدقيق الداخلي,مطور برمجيات,27500,SA5646310212574499101469,+966507088610,نعم,2024-08-29
E00010,رهف السلمي,1874445636,التخطيط والتطوير,منسق,11000,SA5472774886725179530789,+966577954697,نعم,2020-11-29
E00011,ديمة المطيري,1419169691,إدارة المخاطر,مدير,6500,SA3024573907118812712129,+966582767268,نعم,2025-05-19
E00012,سلمان الرشيدي,1749978340,الخدمات المساندة,مستشار,33000,SA0677831521783346214686,+966515328335,نعم,2014-09-22
E00013,نجلاء القرشي,1320830662,الشؤون القانونية,مسؤول مشتريات,27500,SA6393199481421351264355,+966529731125,نعم,2024-02-28
E00014,صفاء الحميدي,1186347900,الاتصال المؤسسي,محلل,27500,SA8754753922014777921635,+966563002871,نعم,2010-11-07
E00015,ميساء الزياني,1601635897,الاتصال المؤسسي,مسؤول مشتريات,27500,SA5915707188673555963100,+966520762465,لا,2020-01-25
E00016,سعد الغامدي,1321972596,تقنية المعلومات,أمين مستودع,33000,SA8625151410929151306414,+966528059602,لا,2013-10-03
E00017,ابتسام المالكي,1493807893,ضبط الجودة,مسؤول مشتريات,14500,SA2625060351254915886251,+966547229721,لا,2017-11-08
E00018,نجود العوفي,1682706740,إدارة المعرفة,محاسب,22000,SA9628220195326033018655,+966518872242,نعم,2024-11-02
E00019,مازن الزبيدي,1610359240,الموارد البشرية,مدقق حسابات,18000,SA8188445142382593241286,+966543998791,لا,2012-05-23
E00020,سحر العمري,1466219191,إدارة المخاطر,محلل,14500,SA2672663002037973409297,+966596319965,لا,2023-10-29
E00021,راشد اليامي,1272012236,إدارة المعرفة,مطور برمجيات,55000,SA6169863223289048115067,+966565044710,نعم,2024-01-08
E00022,عبدالوهاب الهاجري,1660775163,التدقيق الداخلي,موظف خدمة عملاء,27500,SA1636096023954924904125,+966559165761,نعم,2017-11-17
E00023,نجود الجهني,1440016192,الخدمات المساندة,باحث,22000,SA0381277239796553483869,+966596722046,نعم,2022-04-17
E00024,هند العتيبي,1796912390,الخدمات المساندة,مصمم,14500,SA3107630902665793275833,+966506365244,لا,2011-06-30
E00025,عبدالعزيز الرشيدي,1638647527,المالية,موظف خدمة عملاء,27500,SA1609660911605578615456,+966560592601,لا,2019-12-15
E00026,نجلاء الربيعي,1453892034,المالية,أخصائي,8500,SA5261006422910772550870,+966507301616,لا,2025-03-02
E00027,سحر العسيري,1637219013,ضبط الجودة,مشرف,11000,SA0751822533179731467003,+966537016863,نعم,2018-01-20
E00028,سلمى الأسمري,1628993386,المشتريات,كبير محللين,33000,SA9550912631338578790418,+966593645291,لا,2019-02-11
E00029,نجلاء الفيفي,1104514888,الاتصال المؤسسي,مستشار,22000,SA7554694904530472103528,+966525591955,نعم,2024-07-02
E00030,مساعد السلمي,176692174,الشؤون القانونية,محاسب,8500,SA7896914658992564940260,+966554642701,لا,2020-02-26
E00031,تالا المسعود,1555660198,إدارة المخاطر,مدير,41000,SA8095911235455616527790,+966529441490,نعم,2010-01-27
E00032,أنس المقرن,1476420540,إدارة المعرفة,مدير,41000,SA2688758650841392762099,+966589675479,لا,2023-05-27
E00033,وائل المرواني,1311486797,تقنية المعلومات,مطور برمجيات,41000,SA2568632998927801687178,+966562940530,نعم,2020-08-18
E00034,معاذ الغامدي,1137233688,التدقيق الداخلي,مدير,8500,SA5586688390822243921478,+966588324388,لا,2013-05-27
E00035,أنوار الصاعدي,1707388987,المالية,باحث,41000,SA1880152968244653027678,+966534942862,لا,2018-08-19
E00036,جاسم الحميدي,1849096852,ضبط الجودة,أخصائي,8500,SA3467054862628036227227,+966513482946,نعم,2014-08-23
E00037,أمل العامري,1929487088,إدارة المخاطر,مصمم,27500,SA3580570667929785675079,+966597960592,نعم,2019-01-09
E00038,ابتسام الرويلي,1520037977,الموارد البشرية,محاسب,8500,SA5242408669864545620800,+966536392496,لا,2021-03-19
E00039,تالا الأسمري,1783522830,الموارد البشرية,مشرف,18000,SA0456554664156954352326,+966523919978,لا,2017-07-09
E00040,عبدالعزيز الشهري,1028816237,التدقيق الداخلي,منسق,33000,SA5171828350358086872446,+966510585431,لا,2016-04-27
